Country,Findings,,
Mexico,"In Mexico, political finance is highly regulated, both in law and in practice. Parties and candidates are both entitled to receive state funding for campaigns; in practice, they do so. Indirect funding, in the form of advertising slots on radio and television, is also provided. In fact, parties and candidates cannot otherwise buy advertising - they must rely exclusively on the slots allocated to them through the indirect public funding mechanism. In practice, some parties found ways to circumvent the law during the 2012 elections, and obtained more advertising time than was their due. There are also a few instances in which non-financial state resources appear to have been illegally deployed in the 2012 campaign. Independent candidates, though not parties, are prohibited from receiving cash donations; anonymous donations and corporate contributions are totally impermissible. Contributions from individuals are capped, and campaign spending is limited for both parties and candidates. Because of these restrictions, parties rely primarily on public funding for their financing, though individual donors and supporters' donations provide supplementary assistance. During the 2012 elections, several candidates and parties spent more than was legally permissible during the campaign. Legal reporting requirements are stringent, and both parties and candidates are supposed to submit itemized financial reports on a regular basis, both within and outside campaigns. These requirements are the result of a new law passed after the 2012 elections, which means that, during those elections, parties and candidates, in practice, reported less frequently. Their reports generally included a full list of donors, a rare case within the MPT sample. Financial reports submitted to the oversight authority, the INE, are available online, but not all information is available immediately, and data is often uploaded in pdf format. Third party actors in Mexico are prohibited from any sort of campaign activity. In practice, however, such actors engaged in campaigning during the 2012 elections, and they did not report any financial information to the authorities. The recently reformed National Electoral Institute (INE) is charged with oversight of political finance. Many of its appointees, in practice, are selected in merit-based processes, and their independence, for the most part, is protected. The INE is active and well staffed; it carries out investigations and audits regularly its predecessor performed more than 1,000 during the 2012 campaign). Its audits are public, and it often imposes sanctions. However, parties and candidates failed to comply with sanctions regarding 2012, instead going through a lengthy appeals process by which to escape censure. Enforcement is likely to improve due to the recently enacted reforms, though carrying out the full scope of its activities may prove a challenge for the INE.",,
Nigeria,"No direct or indirect public funding is available for parties or candidates in Nigeria. Despite a prohibition on the use of non-financial state resources during campaigns, the ruling party availed itself of state buildings, vehicles and staff for campaign purposes in 2011. The legal framework includes some prohibitions on contributions, though a number of loopholes exist. Anonymous donations to parties are not permitted, though candidates may receive them. Individual contributions to parties are capped, but unlimited donations may be made to candidates. Corporations may not give at all to parties, and are limited in how much they can legally contribute to candidates. Foreign financing is banned for parties, but not for candidates. Spending limits are in place, but apply only to candidates, not parties. These patchwork restrictions and the absence of public funding combine to create a system in which parties and candidates rely heavily on private donors, some of whom violate contribution caps. Indeed, violations of both contribution and expenditure were common in the 2011 elections. Legal reporting requirements are not onerous, and apply only to parties. In practice, parties regularly fail to file the required reports: only 2 of 23 parties filed annual reports in 2011. Only summary data in pdf formats is available to the public. Third party actors, in the form of political organizations that support specific campaigns, are present in Nigeria, and they are not subject to any regulations. The Independent National Electoral Commission (INEC) is empowered to monitor and investigate political finance issues in Nigeria. Appointments to that body, in practice, are not completely merit-based, and the independence of appointees is not fully guaranteed. In practice, the INEC suffers from capacity constraints, and has largely eschewed any active oversight of political finance. It conducted no investigations in 2011, and imposed no sanctions on violators, despite ample evidence that violations had occurred. Enforcement, therefore, is weak.",,
Pakistan,"In Pakistan, there is no direct or indirect public funding for parties or candidates. Non-financial state resources featured in the 2013 campaign, despite a law banning their use. Contributions to parties are somewhat restricted, but the law ignores candidates in this regard. The reverse holds for campaign expenditures. Candidates are required, in law, to spend less than a specified amount, but party spending is unregulated. The evidence suggests that, though the legal framework is not particularly extensive, even the restrictions on contribution and expenditure were likely violated in the run-up to the 2013 elections. During campaign periods, candidates are required to file financial reports, while parties must submit reports on an annual basis. In practice, not all candidates submit the required reports, and most data is incomplete, without a full list of identifying details for contributors. Political finance information is not available online, though it can be obtained in hard copy at photocopying cost, or in pdf. Third party actors are not subject to reporting requirements, though unions and some religious groups do appear to exercise some influence in campaigns. Enforcement in Pakistan is less than robust. The leaders of the Electoral Commission are not appointed in public, completely merit-based processes, and their independence is not guaranteed. The Commission's budget and staff are not sufficient for comprehensive oversight. It performed no audits or investigations after the 2013 elections, and many of its administrative sanctions were ignored by violators.",,
Panama,"In law and in practice, Panama provides public funding for parties during election campaigns. Free airtime on public media is also provided. Though the law bans the use of non-financial state resources during campaigns, during the 2014 campaign, the government took advantage of numerous such resources. There are few restrictions on contribution and expenditure. Individual donations are not limited, and electoral spending is likewise uncapped. In terms of reporting, parties are required to submit quarterly financial reports outside of elections, and both parties and candidates must submit post-election reports. In practice, many candidates failed to submit the financial reports required by law after the 2014 elections. Those that did, however, typically included a fully itemized list of their contributors. Very little political finance information is available to the public. Third party actors exert some influence in Panamanian elections, but are not regulated in law. The Electoral Tribunal is responsible for the oversight of political finance issues. In practice, not all three members of the Tribunal were appointed based on merit, but their independence is largely guaranteed. It has most of the staff and budget it needs to carry out its functions. Nevertheless, in practice, the Tribunal did not perform any investigations in 2014, and it rarely sanctions parties and candidates that fail to submit the reports required by law. Deficits in transparency and enforcement inhibit the strength of Panama's political finance regime.",,
Paraguay,"In Paraguay, direct public funding is provided for parties. The distribution and allocation of that funding, however, is not entirely transparent. Non-financial state resources were regularly abused during the 2013 campaign, but indirect public funding in the form of free advertising slots was equitably distributed to parties and eligible candidates. Limits cap the amount that individual donors, corporations, foreign sources, and third parties can give to parties, while there are no restrictions on contributions to candidates. Campaign spending is capped only for parties, though in practice, parties employed a variety of strategies to circumvent those caps during the 2013 elections. In terms of reporting requirements, parties are required to submit detailed reports during and outside of campaign periods. In practice, reports often lack the requisite detail, and very little political finance information is made available to the public. Third party actors engaging in partisan campaign activities, especially nonprofits, are present in Paraguay, but their independent expenditures and contributions are not regulated. The Electoral Justice (TSJE) oversees political finance. In practice, appointments to the TSJE are not definitively merit-based, and appointees are not independent of other branches of government. The TSJE did not perform any audits or investigations after the 2013 campaign, nor did it sanction potential violators. Because the TSJE is politically compromised, enforcement is fairly weak.",,
Peru ,"In law, the Peruvian system provides direct public funding for parties. However, in practice, funding has never actually been disbursed. Indirect public funding, in the form of free access to advertising during campaigns, is also provided for in law, though the in practice use of advertising slots did not fully align with legal prescriptions in the 2011 campaign. Non-financial state resources, especially staff, were frequently used for illegal campaign purposes in the run-up to the most recent elections. Anonymous donations are permitted in Peru, but all direct personal, corporate, and third party donations are capped. Electoral spending, however, is not limited in any fashion. The MPT evidence suggests that parties and candidates collected illegal contributions during the last campaign period. Reporting requirements mandate the filing of financial reports during and outside campaigns. In practice, however, parties often fail to comply with those requirements, and exclude some contributors from their reports. Some political finance data is made available online in pdf. The independent political activities of third party actors are not regulated, which allows a variety of organizations to influence campaigns in opaque ways. The National Electoral Authority (ONPE) monitors political finance, but it lacks the legal authority to carry out in depth audits or investigations. That said, its leaders are appointed on merit, and in practice, are independent of other branches of government. Nevertheless, the ONPE cannot and does not investigate or impose sanctions on violators. Current legislation does not provide the ONPE with the tools to more successfully regulate political finance in Peru.",,
Philippines,"In the Philippines, no direct public funding is provided by the state for campaigns, though parties and candidates, in law, receive subsidized access to advertising. In practice, however, advertising slots are not always distributed equitably. Non-financial state resources, as in many countries, are regularly abused during elections. There are few restrictions on contributions during campaigns, but electoral spending is capped for both parties and candidates. During the 2013 elections, parties and candidates made regular attempts to circumvent those spending limits. Those contesting elections are only required to report on their financial information once, at the conclusion of the 90 day campaign period. In practice, the submitted reports are quite detailed, and contain extensive lists of contributors. Reports filed with the authorities are available to the public in non-machine-readable formats. Third party actors are active in the Philippines, but their independent political activities are not regulated. The Commission on Elections, COMELEC, is responsible for monitoring and enforcing political finance laws. The appointment of commissioners is often politicized, but some guarantees, in practice, protect the independence of commissioners once they assume office. As such, COMELEC carries out frequent investigations, and sanctions violators of the law regularly. Sanctions, however, are not always successfully implemented, as candidates in particular avoid paying the prescribed fees. Recent reforms have greatly expanded COMELEC's remit, and enforcement, as such, is currently strong, especially relative to the situation in the recent past.",,
Poland,"Poland has an extensive regulatory framework for political finance in which, in law and in practice, parties can receive direct public funding. Free access to advertising on public media is also provided for parties and candidates. The use of other, non-financial state resources is banned, but during the 2010 presidential elections, some such resources were deployed for electoral benefit. Contributions are highly regulated, and electoral spending is also capped. Parties and candidates are required to submit financial reports during campaigns, while only parties must do on an annual basis. In practice, those reports typically include most contributors, though some omissions occur. The information that is submitted during elections is available as scanned copies online, but accessing other reports, including annual reports, and more detailed data, is difficult. Third party actors are increasingly relevant during campaigns, but they are not required to report any information on their independent political activities. The National Electoral Commission (NEC) oversees political finance. Its members are not appointed in public processes, but are otherwise qualified, and in practice, their independence is protected. The NEC has sufficient budget and staff, but carries out relatively few in depth audits during campaigns. When it imposes sanctions, usually for failures to submit the necessary financial reports, offenders comply. Gaps exist in the political finance legal framework, especially where reporting requirements are concerned, but generally, enforcement in Poland is strong.",,
Romania,"In Romania, parties, in law and in practice, receive direct public funding. Indirect funding, in the form of free access to advertising on public media, is granted to both parties and candidates. Other, non-financial state resources, however, are frequently abused for campaign purposes in Romania. Contributions to both candidates and parties are highly regulated, and electoral spending is capped for both actors as well. Despite the extensive legal framework in this regard, parties elude the legally specified limits on contribution and expenditure in various ways. Reporting requirements in Romania mandate that all parties and candidates file financial reports during campaigns; only parties must report outside of campaigns. Despite legal requirements, in practice, the names of contributors are regularly excluded from reports. All submitted financial information, however, is made available online in pdf formats. Third party actors, especially NGOs that are closely tied to particular parties, are involved in election campaigns, but their independent political activities are not subject to any regulation. The Electoral Permanent Authority (AEP) oversees political finance. Its appointees are highly politicized, but there are some in practice guarantees in place to protect their independence. The AEP is active in its oversight role, as it carries out investigations and imposes sanctions, despite having some budgeting and staffing constraints. Offenders usually comply with the sanctions imposed, but repeat offenders occasionally appear. ",,
Russian Federation,"Russia has a strong political finance regime, and is a good example of a country in which political finance regulations, rather than encouraging a level playing field, actually restrict electoral competition. Direct public funding is awarded to parties in the form of post election reimbursements, in law and in practice, on the basis of electoral performance. Free access to advertising is provided to parties and candidates, but during the 2011 and 2012 elections, slots were distributed so as to privilege the ruling party's campaign. Further, non-financial state resources were frequently deployed by the ruling party for electoral purposes. Contributions are highly restricted, and a cap is in place for electoral spending by both parties and candidates. In practice, however, many violations of these restrictions occurred during recent elections. In law, parties and candidates both are required to report their financial information during campaign periods, but outside the campaign, only parties must file reports. In practice, submitted reports often fail to include all contributions, especially in-kind contributions, and are not fully itemized. Some of the submitted information is published online, and of that, some is in a machine readable format. Third party actors, despite being active in Russian campaigns, are not regulated. The Central Elections Commission (CEC) is in charge of enforcing political finance law. The CEC is highly politicized, and typically focuses its regulatory power on opposition parties. It is largely opaque in its operations. The CEC cannot impose sanctions on parties or candidates found to have violated the law, so it passes along recommendations to other government agencies, including the Ministry of Finance and the General Prosecutor, when pursuing punishments. Violators typically comply with the imposed sanctions. That said, due to the CEC's bias, rules are selectively enforced so as to favor the ruling party, and restrictions on contributions inhibit opposition parties ability to meaningfully contest elections.",,
Rwanda,"In Rwanda, there is direct public funding, both in law and in practice, for parties and candidates. Funds are disbursed after campaigns. No indirect funding is provided. Non-financial state resources are often abused. With the exception of a ban on contributions from foreign sources to political parties, contributions and expenditure are not restricted in the least. In the absence of contribution limits, parties are funded by their members and the business ventures they control. Reporting requirements in Rwanda are very light: the only requirement articulated in law is that parties must submit financial reports on an annual basis. Only contributions over more than one million Rwandan francs have be included in the reports. Further, no reporting during campaigns is necessary, and candidates do not have to report at all. This means that, in practice, very little meaningful political finance data is reported, and even less is easily available to the public, which can only access submitted reports by request. Interestingly, there were no documented cases of political finance violations during the 2010 and 2013 elections. This is explained by the fact that, in a largely unregulated political finance regime, breaking the law is nigh on impossible. Third party actors are not regulated in Rwanda. The Office of the Ombudsman is responsible for oversight of political finance issues. Appointees, in practice, are not chosen in public, merit-based processes, and the independence of Ombudsmen is not guaranteed. Nevertheless, the office carried out at least 16 investigations into political finance during the 2010 and 2013 elections, though it released no information on the results of those audits. It has limited power to impose sanctions, but its edicts are complied with when they are issued. In general, Rwanda's political finance regulatory framework is very weak. Few laws address the issue, and despite the power of the Ombudsman, little practical enforcement occurs.",,
Serbia ,"Political finance is highly regulated in Serbia. Direct public funding is available for parties, and in practice, it is allocated equitably and in a transparent fashion. Indirect funding, in the form of access to advertising in public media, is also awarded, but opposition parties are typically consigned to unfavorable timeslots in contravention of the law. The use of other state resources, including staff, vehicles, and buildings, is prohibited. In practice, however, such resources are regularly abused during campaigns. Contributions are highly regulated, but no limits check the amount of spending that can legally occur. In practice, despite the limits on donations that are in place, the evidence indicates that violations occur. Where reporting is concerned, parties are required to submit regular financial reports both during campaigns and on an annual basis. In practice, filed reports are quite detailed, though in-kind contributions are sometimes not represented properly. Filed information is available online, but not in machine readable formats. Third party actors are not regulated. The Anti-Corruption Agency (ACA) is responsible for oversight of political finance. The ACA is independent, and its appointees are selected in merit-based, public competitions. Its staff and budget, however, are too small for it to conduct complete oversight. The ACA carried out some investigations of political finance issues after the last elections, but complete information on those investigations is unavailable. When it imposes sanctions, parties usually comply, but repeat offenders exist. ",,
Slovenia,"In Slovenia, both parties and candidates are entitled to receive reimbursements after the conclusion of campaigns. In practice, they do so. Indirect public funding in the form of free access to public media is also provided, though in the 2011 and 2014 parliamentary elections, some parties received more advertising slots than they should have according to the allocation mechanism prescribed in law. Non-financial state resources are often abused in Slovenian campaigns. Contributions are highly regulated, and there is also a cap on spending during campaigns. The spending cap is applicable to both candidates and parties. Few, if any, violations of these limits have occurred during recent campaigns, making Slovenia a relatively rare case among the countries researched for this project. During campaigns, both parties and candidates are required to submit financial reports; outside of the campaign season, only parties have to file annual reports on their financial dealings. Filed reports are somewhat detailed, though many lack a full list of contributors. Some third party actors, notably party academies, conduct campaign activities, but they are not subject to any regulation. The Court of Auditors, a highly respected institution, oversees political finance. In practice, its members are appointed in public, merit-based processes, though their independence is not fully guaranteed. The Court of Auditors has a relatively large staff and budget, and it conducted numerous audits during the 2011 and 2012 elections. The results of its investigations are transparent. Regarding sanctions, the Court of Auditors has not imposed many in recent years, but some penalties have been complied with. ",,
Solomon Islands,"The Solomon Islands do not have systems of direct or indirect public funding. Non-financial state resources often featured in the 2010 campaign. The legal framework does not include many restrictions on contributions. Candidate spending is limited, but parties are able to spend as much as they like during campaigns. Both parties and candidates, in law, must file financial reports after the campaign season, and parties must also submit annual reports. In practice, few parties or candidates actually file the required information. The data that is submitted is concerned solely with expenditures. No contribution data is available. Further, the public cannot, in practice, any political finance information. The independent political activities of third party actors are totally unregulated. The Political Parties Commission (PPC), newly established in 2014, has the power to oversee the finances of political parties, but not independent candidates who are not party members. The PPC's members are not appointed on merit, nor are they fully guaranteed independence. During the most recent elections, the Electoral Commission was still in charge of regulating political finance -- its ability to conduct oversight was highly limited, and it did not successfully impose any sanctions after the last campaign. ",,
South Africa,"In South Africa, public funding is provided, in law and in practice, to political parties for campaigns. Indirect funding, taking the form of free access to advertising, is also available during campaigns. Some non-financial state resources, including public buildings, were inequitably and illegally deployed during the 2014 elections for the benefit of particular parties. There are no restrictions on contribution and expenditure in South Africa. Parties may take in unlimited amounts of money from any kind of donor, and may spend as much as possible during elections. Where reporting requirements are concerned, parties must submit only reports on the use of public funding. No information on private contributions, or the use of those contributions, is mandated by law. This means, in practice, very limited information on the spending of political parties is available to the public. Third party actors are entirely unregulated in South Africa, despite their presence and influence during campaigns. Political finance is overseen by the powerful Independent Electoral Commission (IEC), the members of which are independent and possessing of merit. The IEC is well funded and well staffed, and conducts some investigations, in practice. Sanctions take the form of frozen disbursements of public funding, and are sometimes effective. ",,
Sri Lanka,"In Sri Lanka, parties are entitled to direct public funding. In practice, disbursements are made, but not in a transparent fashion. Access to advertising in public media is provided, both in law and in practice, for both parties and presidential candidates. Other, non-financial state resources were regularly abused during the 2010 elections. No restrictions on contribution or expenditure are codified in law, meaning that parties and candidates can receive and spend unlimited amounts during campaigns. Reporting requirements are also sparse. The only legal requirement is that parties submit annual reports to the Commissioner of Elections. In practice, filed reports are not detailed, and very little political finance information is available to the public. Third party actors are not regulated by Sri Lankan law. The Commissioner of Elections is charged with overseeing political finance. In practice, however, the Commissioner has to date failed to fulfill this role. As such, enforcement is weak.",,
Sweden,"The Swedish political finance system provides direct public funding for both parties and candidates. This funding takes the form of reimbursements after campaigns, and is applied equitably in practice. Parties and candidates do not, however, receive any indirect assistance. Intriguingly, Sweden does not explicitly ban the use of non-financial state resources during campaigns, and yet, no such resources are used. This fact makes Sweden one of a few outliers in the MPT sample. Restrictions on contribution and expenditure are mostly nonexistent. For funding, parties rely primarily on public disbursements, though private donations and party held businesses also provide some financing. A new 2014 law now requires parties and candidates have to report on their contributions received on an annual basis. No other requirements exist, and the law has not yet been in place long enough to assess whether, in practice, reports are actually filed. Before the passage of this new law, parties came to an informal agreement by which they self-published their contributions received each year. This meant that, in practice, the public had access to some political finance information, but no data on expenditures was available. The independent political activities of third party actors are not regulated under Swedish law. The 2014 reform designated a new authority, the Legal, Financial, and Administrative Services Agency (LFAS), to oversee political finance. In law, the LFAS does not have investigative powers, though it can enforce sanctions for failures to comply with the law. At the time of this research, the LFAS had yet to oversee an election campaign, making it difficult to assess its enforcement of sanctioning authority.",,
Thailand ,"The political finance situation in Thailand is currently complicated by the ongoing political crisis, in which the Constitution and other legislation were suspended indefinitely. According to the Constitution, parties are entitled to direct public funding. In practice, that funding was distributed in early 2014, but then returned to the authorities after the Constitution's suspension. Parties also, in law, receive free air time for advertising. However, the turmoil in Thailand affected the distribution of advertising slots, resulting in a less than equitable situation. The legal framework sets forth several restrictions on contributions, and also limits the amount that can be spent during elections. Some financial information must be reported: parties and candidates must submit post election financial reports, and parties must file additional reports annually. In practice, the submitted reports contain some information on contributors. Some of that data is then published online in pdf formats, but not all of it is accessible to the public. The independent political activities of third parties actors are not regulated in Thailand. The Election Commission of Thailand (ECT) is charged with oversight of political finance. In practice, appointees to the ECT are not chosen on merit, nor is their independence protected. Nevertheless, the body does have a substantial staff and budget, and conducted several investigations into potential violations in the wake of the 2014 elections. Sanctions imposed by the ECT are typically respected.",,
Trinidad & Tobago,"In Trinidad and Tobago, political finance is, for the most part, unregulated. No direct or indirect public funding is provided, and few restrictions on contributions exist. Campaign spending is limited for candidates, but parties are not addressed in the law. In fact, parties are not the subject of any legislation whatsoever, despite their prominent presence in the Trinidadian political scene. Reporting requirements mandate only that candidates submit annual reports. In practice, these reports tend to include some itemized information. Submitted reports are eventually republished in newspapers, but no political finance data is made available online. Third parties play a role in elections, but in law, their independent political activities are not regulated. The Elections and Boundaries Commission of Trinidad and Tobago (EBC) is in charge of monitoring political finance. The EBC does not have audit or investigatory powers. In practice, it also lacks the staff capacity and expertise to substantively monitor political finance, and it neither carries out investigations nor imposes sanctions. Despite several recent efforts to reform how campaigns are financed in Trinidad & Tobago, the regulatory system and its enforcement remain weak.",,
Turkey,"There is direct public funding for parties in Turkey, both in law and in practice. Turkish law also provides indirect assistance, in the form of access to media during campaigns. Non-financial state resources are widely abused during campaigns. Restrictions on contribution apply only to parties and to presidential candidates; no limits constrain the size of donations to parliamentary candidates. Despite these loopholes, violations of the law are, in practice, relatively frequent. Campaign spending is not limited for any actor. In terms of reporting requirements, parties are supposed to submit annual financial reports, and presidential candidates are required to file reports after the conclusion of campaigns. Parliamentary candidates are not obligated to report any financial information. In practice, many of the reports that are filed do not include in-kind contributions or their contributors. Direct political finance data is not accessible to the public. Third party actors and their campaign activities are under no regulation in Turkey. Responsibility for monitoring political finance is split between two bodies: the Constitutional Court and the Supreme Board of Elections. The former is responsible for parties' compliance with the law, while the latter oversees presidential candidates. Concerns about the merit of the members of these bodies exist, and their independence is not fully guaranteed. In practice, neither authority conducts investigations. Nevertheless, sanctions imposed on violators are often, but not always, complied with. Enforcement in Turkey is weakened by the bifurcation of responsibilities between two separate authorities, and by loopholes that reduce the effectiveness of the current legal framework. ",,
United Kingdom,"The United Kingdom has a strong framework in place to regulate political finance, and enforcement is equally strong. Direct public funding is provided to parties, and it appears to be distributed equitably. However, those funds cannot be used during campaigns. Indirect public funding, in the form of free access to broadcast media, is also provided to parties. In practice, that airtime is given out fairly and transparently. Parties are not permitted to independently purchase airtime or otherwise advertise on television during campaigns. Relevant legislation restricts few forms of contribution, but spending during campaigns is capped for both parties and independent candidates. Based on data from the 2010 elections, parties did not even approach the spending limits codified in law. Parties, by law, must report on their finances regularly, both inside and outside campaigns. Independent candidates must do so only after the campaign period, while regulated donees (defined as members of registered parties, including members of parliament and candidates) have to regularly report on contributions received every month. In practice, most parties, candidates, and donees comply with these requirements, and most submit detailed lists of their contributors, though some exceptions exist. The UK Electoral Commission regularly publishes submitted political finance information online in a searchable database. Third party actors are active in UK elections, and those that spend in excess of a certain amount on independent campaign activities are required to report on their political activities. This means that some, though not all, third party organizations are subject to regulations, and that some, though not all, data on their expenditures is publicly available. The Electoral Commission oversees political finance. Its commissioners are typically appointed on merit, and their independence is, by and large, guaranteed. The Commission carried out multiple investigations in the wake of the 2010 elections, and imposed administrative sanctions, most of which were complied with. In general, the enforcement of political finance in the UK has greatly improved since reforms instituted in 2009.",,
United States,"In the United States, direct public funding is available only for presidential candidates, and only if they pledge to abide by spending caps and eschew the collection of other sources of funding. As such, during the 2012 elections, state funds were disbursed only to minor party candidates, as the major party candidates chose to raise and spend more money than they would have received by retaining their eligibility for public funding. No indirect funding or subsidized access to advertising exists. The use of non-financial state resources in campaigns is prohibited, but in at least a few cases, such resources were abused for electoral purposes during recent campaigns. Various restrictions on direct contributions are specified in law, but campaign spending remains unrestricted. This leads to hugely expensive elections in which parties and candidates rely heavily on private donations, many of which come from large individual donors and political action committees. The US system has rigorous reporting requirements. Both candidates and parties must, by law, report regularly on their finances. In practice, the reports filed with the Federal Elections Commission (FEC) include all direct contributions received. All filed reports are available online in machine readable formats, and are easily accessible to the public. Some third party actors are required to submit detailed financial reports to the FEC. Others, however, including are under no such obligations (see indicator #34 for a complete explanation). This means that, in practice, some information on the independent political activities of third party actors is available to the public, but much of their expenditures, and the donors who finance them, remain dark. The FEC is in charge of regulating political finance. Its members, in practice, are appointed on a partisan basis, and their independence is not guaranteed. The FEC carried out a number of audits after the 2012 elections, and imposed sanctions, some of which were complied with. Most sanctions, however, are relatively light, and are imposed well after the violation occurred, which diminishes their impact. To impose sanctions or initiate an investigation, the FEC needs a quorum of 4 of its 6 members. Three of the commissioners are Republicans and three are left-leaning. As such, they often gridlock, which means that a good deal of potential violations go without investigation. Serious concerns about the FEC's ability to meaningfully regulate political finance exist, and dark money appears to play an increasing role in American politics.",,
Uruguay,"In Uruguay, both parties and candidates receive direct public funding, in law and in practice. No subsidies are granted for access to advertising during campaigns. There are some limits and restrictions on contributions, but campaign spending is not limited to a maximum amount. In practice, public funding tends to be the most important component of campaign financing. No documented cases of violations of contribution limits were found during the 2009 elections. The reporting of financial information is required before and after campaigns, and parties also have to submit detailed accounts of contributions and expenditure on an annual basis. In practice, filed reports are not always completely itemized, nor are they completely inclusive of all donors. At least some of the financial data submitted to the electoral authority is made available online, but formats and standards vary, which makes the information somewhat difficult to analyze and compare. Third party actors are increasingly prevalent in Uruguay, but their independent political activities are not regulated. The Electoral Court is charged with oversight of political finance. Its members, in practice, are not appointed on the basis of their merit, and their independence is not fully guaranteed. The body has neither conducted investigations nor imposed sanctions, and as a result, enforcement in Uruguay is somewhat toothless.",,
Venezuela,"Venezuela does not provide direct or indirect public funding for campaigns. Non-financial state resources, however, often featured in the 2013 elections, despite a clear legal prohibition on their use during campaigns. The law restricts very few contributions, and campaign spending is not limited to a maximum amount. Parties thus rely primarily on private funding. Both parties and candidates are legally required to report on their finances during campaigns, and parties must make their accounting books available for examination throughout the year. In practice, it is unclear whether financial reports are comprehensive. The political finance information of parties and candidates is classified in Venezuela, and the public is thoroughly unable to access any data on campaign contributions and expenditure. Unions and other third party actors indirectly participate in campaigns, but their independent electoral activities are not subject to any regulation. The National Electoral Council (CNE) is responsible for overseeing political finance in Venezuela. Its members are appointed by the legislature, but not on merit, and their independence is, in practice, compromised. The CNE is a passive authority, and has neither investigated nor sanctioned any potential violations of political finance laws in recent memory. ",,
