code,name,aggregate_score,in_law_score,in_practice_score,findings,electoral_system
KE,Kenya,42,67,18,"In Kenya, parties are entitled to receive direct public funding. In practice, they do so, though some parties have expressed concern that they did not receive the full amounts to which they were entitled in law. Some form of media access is, according to the law, supposed to be provided, but in practice, this has yet to happen. Non-financial state resources are regularly abused during campaigns. Many types of contributions are restricted or limited in law, but electoral spending is subject to no such limitations. Despite legal restrictions, parties and candidates both rely primarily on individual and corporate donors, and some documented abuses occurred during the 2013 elections. Reporting requirements mandate that both parties and candidates submit their financial information during campaigns, but only parties must do so on an annual basis. Submitted reports typically lack detailed information on contributors. Financial data is available to the public, though at a cost. Some third party actors are required to report on their independent activities during campaigns, according to the law, but they frequently fail to do so in practice. Responsibility for monitoring and enforcing political finance laws resides with two bodies: the Registrar of Political Parties and the Independent Electoral and Boundaries Commission (IEBC). The evidence suggests that appointments to these agencies are not fully merit-based, and appointees are not totally independent. In practice, very little enforcement occurs, and no sanctions were imposed during the 2013 elections.","Kenya has a directly elected executive president and a bicameral parliament comprising of the National Assembly and the Senate. Kenya has a two-tier devolved system comprising of the national government and 47 county governments. 

The membership of the National Assembly consists of: (a) 290 members each elected through a firt-past-the-post system (i.e. by the registered voters of single member constituencies); (b) 47 women each elected through a fast-past-the-post system (i.e. by the registered voters of the counties each county constituting a single member constituency); twelve members elected through a proportional representation system (i.e. nominated by parliamentary political parties in proportion to the number of seats they win in the National Assembly) to represent special interests including the youth, persons with disabilities and workers; and (d) the Speaker who is an ex officio member. 

The membership of the Senate consists of: (a) 47 members each elected through a fast-past-the-post system (i.e. by the registered voters of the counties each county constituting a single constituency); (b) sixteen women members elected through proportional representation system (i.e. nominated by political parties in proportion to the number of senate seats they win); (c) two members, a man and a woman, representing the youth elected through proportional representation; (d) two members, a man and a woman, representing persons with disabilities elected through proportional representation; and (e) the Speaker who is an ex officio member.    

Parliamentary and senatorial campaigns are largely funded by the candidates themselves. Political parties also provide token support to their candidates using state funds and/or other monies acquired from legal sources. Some presidential candidates also provide support to parliamentary and senatorial candidates.    

The President of Kenya is elected through a fast-past-the-post system (i.e. by registered voters in a national election). Presidential campaigns are funded through parties using both state funds and/or monies raised from other legal sources. But the bulk of the campaign funds are raised by individual presidential candidates and their campaign teams. 

The last general elections were held on 4th March 2013. The previous ones took place on 27th December 2007. The Constitution provides that future elections shall be held on the second Tuesday in August in every fifth year. All the six positions are voted for on the same day.
 
It should be noted that the current political finance legislation only came out after last year’s elections took place, and thus it has not fully been tested yet. Additionally, the current legislation may undergo revisions in the coming months. This concerns possibly the public funding distribution criteria, which smaller parties are lobbying for, and possibly the development of regulations to the campaign finance act. One area that the regulations will have to specify is the division of tasks between the IEBC and the Registrar of Political Parties in monitoring and enforcing the Act. It will also have schedules and forms for parties to do their reporting, and it will potentially address some of the inconsistencies in the current law."
KR,South Korea,66,80,51,"South Korea, in law and in practice, distributes direct public funding to parties and candidates for campaigns. Indirect public funding, in the form of reimbursements for advertising costs, is also available. Non-financial state resources, however, were used during the 2012 elections. The law restricts a number of modalities of contributions, and also caps electoral spending by both parties and candidates. Parties rely on public funding for roughly 33% of their expenses. Several reports indicate that restrictions on contributions and expenditure were violated during the 2012 elections. Korean law includes extensive reporting requirements inside campaigns, and annual reporting is required outside election periods. In practice, however, many contributions, especially in-kind contributions, are not reported by parties and candidates. Access to political finance information is highly restricted. Most third party actors are prohibited from engaging in political activity, but supporters' associations are allowed to support campaigns, though they are required to report on their activities. In practice, their reports are less than comprehensive, and much of their campaigning remains opaque. The Election Commission is in charge of regulating political finance. In practice, its appointees are not always fully merit-based, nor is their independence completely guaranteed. It has the power to investigate, but chose not to do so after the 2012 elections. When it does impose sanctions, however, offenders always comply. Indeed, in Korea, enforcement of political finance is notably strong.","South Korea has a unicameral legislature with a directly elected presidential executive. The National Assembly is comprised of 300 seats. The majority of the seats, 246, are filled in first-part-the-post elections in single-member constituencies. The remaining 54 are chosen by the parties via proportional representation. There are three main sources of public funds: public subsidies, party membership fees, and funds collected from the public by supporters' associations. The party and supporters' associations distribute funds to candidates. 

The president is popularly elected by a plurality of the vote every 5 years. Presidential candidates are entitled to public subsidies in accordance with their party's presence in the National Assembly. They are also entitled to reimbursement from the taxpayer for election expenses. Each candidate can also have a supporters' association that collects money on its behalf within the bounds of the law. 

The most recent elections were:
National Assembly by-elections, Jul 30 2014.
Presidential election, December 19, 2012.
National Assembly elections, April 11 2012."
LB,Lebanon,21,30,18,"Lebanon's legal framework regarding political finance is sparse. Neither direct nor indirect public funding are available for parties or candidates. State resources are often abused during campaigns. Some restrictions on contributions to candidate exist, as do candidate expenditures, but parties are wholly unregulated in law. Elections are funded largely by foreign actors, or by candidates themselves. Only candidates are required to report on their finances during campaigns, and no reports are necessary outside the campaign season. In practice, the reports that are submitted tend to lack detailed information on contributors. No financial information is available to the public. Third party actors are not regulated by Lebanese law. The Supervisory Commission on the Electoral Campaign (SCEC) is charged with overseeing political finance, but its leaders are not appointed in merit-based, public competitions, and their independence, in practice, is not guaranteed. The SCEC does carry out some audits, but its sanctions are roundly ignored. The SCEC is too weak to meaningfully enforce political finance law.","Lebanon has a majoritarian electoral system with a unicameral legislature and an indirectly elected head of state.  The President is elected to six year terms by members of Parliament; presidential candidates need the votes of 2/3 of Parliament in order to be elected.  The President appoints the Prime Minister, who serves as the head of state.    The President is required to be a Maronite, and the Prime Minister must be a Sunni Muslim (the Speaker of Parliament is reserved for Shi'a).

The 128 members of the Assembly of Representatives are directly elected every four years according to the principles of confessional distribution.  Each religious community is allotted a certain number of seats in the Assembly, but all candidates in each district must receive a plurality in order to be elected.  Seats are split across 26 electoral districts.  Campaign funds are predominantly managed by candidates, but parties may contribute to the candidate's electoral bank account. 

Nowadays, the Lebanese political system is malfunctioning due to the division between the two main rival political camps, the March 8 and March 14 coalitions. This division led to the occurrence of numerous political, security and technical events resulting in the postponement of both the parliamentary and presidential elections due respectively in June 2013 and May 2014. Between 2005 and 2014, three different types of elections were held; the parliamentary elections in 2005 and 2009, the presidential election in 2008, and the municipal election in 2010. The 2009 parliamentary elections resulted in the March 14 coalition securing 71 seats and the March 8 coalition winning the remaining 57 seats."
LK,Sri Lanka,16,21,11,"In Sri Lanka, parties are entitled to direct public funding. In practice, disbursements are made, but not in a transparent fashion. Access to advertising in public media is provided, both in law and in practice, for both parties and presidential candidates. Other, non-financial state resources were regularly abused during the 2010 elections. No restrictions on contribution or expenditure are codified in law, meaning that parties and candidates can receive and spend unlimited amounts during campaigns. Reporting requirements are also sparse. The only legal requirement is that parties submit annual reports to the Commissioner of Elections. In practice, filed reports are not detailed, and very little political finance information is available to the public. Third party actors are not regulated by Sri Lankan law. The Commissioner of Elections is charged with overseeing political finance. In practice, however, the Commissioner has to date failed to fulfill this role. As such, enforcement is weak.","Sri Lanka has a unicameral Parliament and a directly elected executive president. 

Parliament is a 225 member legislature. The members of the parliament are elected for six-year terms by proportional representation with universal franchise. Of the 225 members, 196 are elected from 22 electoral districts and remaining 29 members are elected from a national list according to the percentage of vote polled by each party. 

The President who is the head of state, head of government and commander in chief of the armed forces, is directly elected for a six-year term.   Presidents may only be removed from office through a process of impeachment with the concurrence of the Supreme Court. The President appoints and heads a cabinet of ministers responsible to Parliament. The President's deputy is the prime minister, who leads the ruling party in Parliament.
  
The lack of provisions in the law regarding campaign finance and the flagrant misuse of state resources which grossly disproportionately advantage incumbents has raised the issue of political finance, but with little result.  This is largely attributable to a poitical culture of patronage and relative disregard for transparency in public affairs. The situation is compounded when the political culture and the structure of power in practice gives way to a dynastic project of populist authoritarianism, as at present.

Campaign contributions are made to both parties and to candidates and are managed accordingly. Given the leader-centric culture, practice this amounts to the leader of the party deciding on the distribution and disbursement of resources.

The most recent Presidential Election took place on January 26, 2010, and the most recent Parliamentary Election on April 8, 2010. A snap Presidential Election is to be held on January 8, 2015 (Note that the  2010 elections are the focus of this review)."
MW,Malawi,5,6,2,"Malawi has no legislation in place to regulate political finance. The only relevant law is the Constitution, which bans the use of state resources during campaigns. Nevertheless, such resources are often used. No other legislation exists, and enforcement, as a result, is absent.","Malawi has national elections for a unicameral legislature and a directly elected presidential executive. 

Representatives to the National Assembly are elected through a first-past-the post electoral system. They serve a five-year term and are eligible for indefinite reelection. 

The Head of State is directly elected through a first-past-the post electoral system. The President serves a five-year term, and is limited to two terms. 

Candidates may either be sponsored by a party or may stand as independent candidates.  Neither parties nor individual candidates are funded publicly. Each party has its own ways of managing campaign funds that they raise privately and the ways in which such funds are managed are not known to the public.

The most recent elections took place on 20th May 2014. Sixteen political parties participated. Voters elected 462 Councillors for the 35 Councils,193 MPs and the President."
MX,Mexico,69,89,57,"In Mexico, political finance is highly regulated, both in law and in practice. Parties and candidates are both entitled to receive state funding for campaigns; in practice, they do so. Indirect funding, in the form of advertising slots on radio and television, is also provided. In fact, parties and candidates cannot otherwise buy advertising - they must rely exclusively on the slots allocated to them through the indirect public funding mechanism. In practice, some parties found ways to circumvent the law during the 2012 elections, and obtained more advertising time than was their due. There are also a few instances in which non-financial state resources appear to have been illegally deployed in the 2012 campaign. Independent candidates, though not parties, are prohibited from receiving cash donations; anonymous donations and corporate contributions are totally impermissible. Contributions from individuals are capped, and campaign spending is limited for both parties and candidates. Because of these restrictions, parties rely primarily on public funding for their financing, though individual donors and supporters' donations provide supplementary assistance. During the 2012 elections, several candidates and parties spent more than was legally permissible during the campaign. Legal reporting requirements are stringent, and both parties and candidates are supposed to submit itemized financial reports on a regular basis, both within and outside campaigns. These requirements are the result of a new law passed after the 2012 elections, which means that, during those elections, parties and candidates, in practice, reported less frequently. Their reports generally included a full list of donors, a rare case within the MPT sample. Financial reports submitted to the oversight authority, the INE, are available online, but not all information is available immediately, and data is often uploaded in pdf format. Third party actors in Mexico are prohibited from any sort of campaign activity. In practice, however, such actors engaged in campaigning during the 2012 elections, and they did not report any financial information to the authorities. The recently reformed National Electoral Institute (INE) is charged with oversight of political finance. Many of its appointees, in practice, are selected in merit-based processes, and their independence, for the most part, is protected. The INE is active and well staffed; it carries out investigations and audits regularly its predecessor performed more than 1,000 during the 2012 campaign). Its audits are public, and it often imposes sanctions. However, parties and candidates failed to comply with sanctions regarding 2012, instead going through a lengthy appeals process by which to escape censure. Enforcement is likely to improve due to the recently enacted reforms, though carrying out the full scope of its activities may prove a challenge for the INE.","The United States of Mexico consist of 31 states and a federal district. The federal republic has a directly elected presidential executive and a bicameral legislature consisting of the Lower House and the Senate.

The President is directly elected for a six-year-term through plurality voting in one national district, and cannot be reelected. 

The Lower House is composed of 500 legislators. These representatives are renewed every three years through a mixed system: 300 representatives are elected through a system of plurality voting in single-member districts and the remaining 200 representatives through a system of proportional representation in five multimember districts of 40 seats each. Parties must present closed candidate lists in these multimember districts. Consecutive reelection of legislators used to be prohibited. A 2014 constitutional reform (decree 216) established that from the 2015 elections onwards, legislators may be reelected up to three terms. 

The Senate consists of 128 members that are renewed every six years through a mixed system. The 31 states and the federal district each elect three senators: two are elected through plurality voting and the third is assigned to the party that obtained the second highest amount of votes. The remaining 32 senators are elected through a system of proportional representation in one national district. Consecutive reelection of senators used to be prohibited. A 2013 constitutional reform (decree 216) established that from the 2018 elections onwards, senators may be reelected for one additional term.

Political parties manage and fund the presidential, legislative, and senatorial campaigns. Towards this end, they mainly depend on public resources - such as public funding and free media access - that are distributed to the parties by the National Electoral Institute´s general Council based on formulas established in Article 41 of the Constitution. Campaign funding can also include private funding in the form of supporter´s donations and member contributions; however, the Constitution establishes donation limits for both candidates' individual contributions and for member/supporter contributions and donations. In addition, the law establishes that corporations, unions and any other legal entities are banned from providing resources to political campaigns. The private acquisition of media access is prohibited completely. As a result, election campaigns are funded almost completely by the state. 

The last national elections for the Presidency, Lower House and Senate took place on July 1st, 2012 Tthe next Presidential, Lower House and Senate elections will be held in 2015. Due to a 2013 constitutional reform (decree 214), independent candidates will be allowed to run for elective office during the 2015 elections for the first time in 70 years."
MY,Malaysia,19,26,15,"Malaysia's political finance system does not provide any type of funding, direct or indirect, for parties or candidates. Restrictions on contribution are likewise largely absent, though anonymous donations to candidates are not permitted. During campaigns, candidates may not spend more than a fixed amount, but there is no cap on party spending. In order to generate funds, parties rely on business ventures and membership dues. Reporting requirements are light: according to the law, parties must report on their finances annually, and candidates must do so only once, in a single post-election report. Reports are not completely itemized, and in practice, do not disclose a complete list of donors or donations. Of the information that is submitted, no party reports are made available to the public, and candidate reports, in practice, are accessible only in hard copy for a period of six months after the election. Third party actors appeared in the 2013 elections, but they are not required to report on their financial activities, and no information is available on their independent contributions and expenditure. The Electoral Commission is responsible for overseeing political finance. In law, the Commission is not granted investigatory powers. Its appointees are not appointed based on merit, and their independence, in practice, is not fully guaranteed. The body does not conduct investigations, lacks the capacity to do so, and never imposes sanctions on parties or candidates who violate the law. In Malaysia, not only is the regulatory framework fairly weak, enforcement is less than rigorous.","Malaysia is a country with a constitutional monarch parliamentary system based on the Bristih Westminster model. Malaysia has a constitutional monarch as the head of state - the Yang di-Pertuan Agong, or King - who has a largely ceremonial role. The King is elected to a five-year term from among nine hereditary rulers of the Malay states. The other four states, which have Governors, do not participate in the selection process.

Based on the Constitution, Malaysia has a bicameral legislature that consists of a House of Representatives (Dewan Rakyat) and a Senate (Dewan Negara). Members of the Dewan Rakyat (also commonly known as Members of Parliament, MPs) are elected directly through general elections, which are held not more than every five years. The MPs are elected in single member constituencies on the basis of first-past-the-post voting. The last General Elections were conducted in 2013. There are currently 222 seats in the  Dewan Rakyat, but the Election Commission is due to conduct redelineation of countries and increases the number of seats in the Parliament. The last redelineation exercise was last conducted in 2003. Article 113 2 (ii) of the Federal Constitution stipulates that the exercise must be conducted once every eight years.
(Note: the most recent redelineation exercise expired in 2011 but the Electoral Commission decided to start the review officially after the General Elections in 2013)

The Senate is currently comprised of 70 senators and they are not directly elected.  Rather, they're appointed to three year terms by the King under the advice of Prime Minister. The Senate includes two representatives from each state, appointed by respective state legislatures (except for Kuala Lumpur whose Senators were appointed by the King), and the the remaining 44 senators are appointed by the King.

Malaysia is a federation system which consists of 13 states and three Federal Territories. Each state has a unicameral State Legislative Assembly whose members are elected, like MPs, to terms of not more than five states.

The Constitution provides that a Cabinet is to be formed and led by the Prime Minister (PM), who is the Head of Government. The PM is appointed by the King from a member of the House of Representatives, who in His Majesty's judgement is likely to command the confidence of the majority of the members of the House. The Cabinet, consisting of a council of ministers (who can be selected from members of eitehr house of parliament) will become the executive branch of the government and is accountable to the Parliament."
NG,Nigeria,29,45,17,"No direct or indirect public funding is available for parties or candidates in Nigeria. Despite a prohibition on the use of non-financial state resources during campaigns, the ruling party availed itself of state buildings, vehicles and staff for campaign purposes in 2011. The legal framework includes some prohibitions on contributions, though a number of loopholes exist. Anonymous donations to parties are not permitted, though candidates may receive them. Individual contributions to parties are capped, but unlimited donations may be made to candidates. Corporations may not give at all to parties, and are limited in how much they can legally contribute to candidates. Foreign financing is banned for parties, but not for candidates. Spending limits are in place, but apply only to candidates, not parties. These patchwork restrictions and the absence of public funding combine to create a system in which parties and candidates rely heavily on private donors, some of whom violate contribution caps. Indeed, violations of both contribution and expenditure were common in the 2011 elections. Legal reporting requirements are not onerous, and apply only to parties. In practice, parties regularly fail to file the required reports: only 2 of 23 parties filed annual reports in 2011. Only summary data in pdf formats is available to the public. Third party actors, in the form of political organizations that support specific campaigns, are present in Nigeria, and they are not subject to any regulations. The Independent National Electoral Commission (INEC) is empowered to monitor and investigate political finance issues in Nigeria. Appointments to that body, in practice, are not completely merit-based, and the independence of appointees is not fully guaranteed. In practice, the INEC suffers from capacity constraints, and has largely eschewed any active oversight of political finance. It conducted no investigations in 2011, and imposed no sanctions on violators, despite ample evidence that violations had occurred. Enforcement, therefore, is weak.","Nigeria is a federal republic with a bicameral legislature and a directly elected President.  The President serves as the head of state, and appoints the members of the cabinet.  Presidents serve four year terms, and may hold office for no more than a total of two terms.  

The National Assembly, Nigeria's legislature, is composed of two houses: the House of Representatives and the Senate.  The 360 members of the House are elected to four year terms in single seat constituencies using a first-past-the-post system in which the first candidate to obtain the most votes takes the seat.  The Senate is composed of 109 members, each of whom serves a four year term.  108 Senators are elected in 36 three seat multimember constituencies using plurality at large voting, in which voters choose three candidates, and the three candidates receiving the most votes win seats.  The remaining Senator is elected in the federal capital.  

In principle, presidential campaigns are funded at both the party and the candidate level, and the management of those funds is shared by both actors as well. Similarly, campaign funds in legislative elections are shared between parties and candidates, as is the responsibility for managing those funds. However, in practice, candidates and their campaign organizations and other related platforms manage campaign activities without reference to political parties. 

The most recent national level elections in Nigeria were held in April, 2011.  Goodluck Jonathan, a member of the People's Democratic Party, won the presidency.  The PDP also won a comfortable majority in the National Assembly, and now controls a significant number of state-level governments as well."
PA,Panama,41,47,43,"In law and in practice, Panama provides public funding for parties during election campaigns. Free airtime on public media is also provided. Though the law bans the use of non-financial state resources during campaigns, during the 2014 campaign, the government took advantage of numerous such resources. There are few restrictions on contribution and expenditure. Individual donations are not limited, and electoral spending is likewise uncapped. In terms of reporting, parties are required to submit quarterly financial reports outside of elections, and both parties and candidates must submit post-election reports. In practice, many candidates failed to submit the financial reports required by law after the 2014 elections. Those that did, however, typically included a fully itemized list of their contributors. Very little political finance information is available to the public. Third party actors exert some influence in Panamanian elections, but are not regulated in law. The Electoral Tribunal is responsible for the oversight of political finance issues. In practice, not all three members of the Tribunal were appointed based on merit, but their independence is largely guaranteed. It has most of the staff and budget it needs to carry out its functions. Nevertheless, in practice, the Tribunal did not perform any investigations in 2014, and it rarely sanctions parties and candidates that fail to submit the reports required by law. Deficits in transparency and enforcement inhibit the strength of Panama's political finance regime.","Panama has national elections for a unicameral legislature and a directly elected President. The National Assembly comprises 71 representatives elected in 39 electoral circuits for a period of five years, through a mixed electoral system with 26 single-member constituencies and 13 multi-member constituencies. A FPTP system is used in single-member constituencies, whereas in multi-member constituencies representatives are elected by list proportional representation. The President is directly elected by simple majority vote for a period of five years.

There is a mixed system of campaign finance, combining public and private funding. Public funding is allocated to all registered political parties and independent presidential candidates, while private funds are collected both on the party and candidate levels.

Political parties cease to exist if they obtain less than 4% of the valid votes cast. Only parties that pass this threshold are entitled to direct public funding.

The most recent general elections took place on 4 May 2014."
PE,Peru,44,69,31,"In law, the Peruvian system provides direct public funding for parties. However, in practice, funding has never actually been disbursed. Indirect public funding, in the form of free access to advertising during campaigns, is also provided for in law, though the in practice use of advertising slots did not fully align with legal prescriptions in the 2011 campaign. Non-financial state resources, especially staff, were frequently used for illegal campaign purposes in the run-up to the most recent elections. Anonymous donations are permitted in Peru, but all direct personal, corporate, and third party donations are capped. Electoral spending, however, is not limited in any fashion. The MPT evidence suggests that parties and candidates collected illegal contributions during the last campaign period. Reporting requirements mandate the filing of financial reports during and outside campaigns. In practice, however, parties often fail to comply with those requirements, and exclude some contributors from their reports. Some political finance data is made available online in pdf. The independent political activities of third party actors are not regulated, which allows a variety of organizations to influence campaigns in opaque ways. The National Electoral Authority (ONPE) monitors political finance, but it lacks the legal authority to carry out in depth audits or investigations. That said, its leaders are appointed on merit, and in practice, are independent of other branches of government. Nevertheless, the ONPE cannot and does not investigate or impose sanctions on violators. Current legislation does not provide the ONPE with the tools to more successfully regulate political finance in Peru.","Constitutionally, the Peruvian electoral system consists of three public entities who are responsible for planning, organizing and implementing any election held in the country.  These institutions are: National Elections Jury (Jurado Nacional de Elecciones), National Electoral Agency (Organismo Nacional de Procesos Electorales) and National Identity Register (Registro Nacional de Identidad y Estado Civil). There are two big kind of elections in Peru: i) general elections (President, two Vice-Presidents and Members of Parliament), which occur every five years and ii) sub-national elections (near 2000 descentralized jurisdictions in regions and municipalities) which take place every four years.  Peru has a unicameral legislature and a directly elected President.  If no presidential candidates receives at least half of the valid votes in the first round of voting, a second round is held within 30 days.  The top two candidates in terms of vote count participate in the second round of voting.  Candidates run on party tickets, and campaign funds are largely managed by political parties.  In fact, only parties are legally permitted to receive and administer funds.  Presidents may not serve more than one term consecutively.

The 130 members of the Congress are elected in 25 multimember districts.  Seats are distributed across each district proportional to the population, and candidates are elected on the basis of a closed list proportional representation system. Independent candidates are allowed to run as long as they are included as part of a registered political party. Campaign funds are typically managed by parties, as by law, all funds must be received and managed by parties rather than candidates.

The most recent general elections in Peru were held in April 2011. After the second round in May Gana Perú (51.4%) defeated Fuerza 2011 (48.5%) and Ollanta Humala was elected as President. Both parties won significant number of seats in Congress: Gana Perú won 47 out of 130, Fuerza 2011 won 37. Perú Posible, a political ally of Gana Perú won 21 seats. The rest were split into three minor representations."
PH,Philippines,43,54,42,"In the Philippines, no direct public funding is provided by the state for campaigns, though parties and candidates, in law, receive subsidized access to advertising. In practice, however, advertising slots are not always distributed equitably. Non-financial state resources, as in many countries, are regularly abused during elections. There are few restrictions on contributions during campaigns, but electoral spending is capped for both parties and candidates. During the 2013 elections, parties and candidates made regular attempts to circumvent those spending limits. Those contesting elections are only required to report on their financial information once, at the conclusion of the 90 day campaign period. In practice, the submitted reports are quite detailed, and contain extensive lists of contributors. Reports filed with the authorities are available to the public in non-machine-readable formats. Third party actors are active in the Philippines, but their independent political activities are not regulated. The Commission on Elections, COMELEC, is responsible for monitoring and enforcing political finance laws. The appointment of commissioners is often politicized, but some guarantees, in practice, protect the independence of commissioners once they assume office. As such, COMELEC carries out frequent investigations, and sanctions violators of the law regularly. Sanctions, however, are not always successfully implemented, as candidates in particular avoid paying the prescribed fees. Recent reforms have greatly expanded COMELEC's remit, and enforcement, as such, is currently strong, especially relative to the situation in the recent past.","The Philippines has a presidential system with a directly elected president and a bicameral legislature.  The president is elected for six year terms, of which he may serve only one.  Campaign funds for presidents are managed at both the party and candidate level, as both actors contribute to electoral spending.

The legislature is composed of the Senate and the House of Representatives.  Direct elections for both Chambers are held every three years.

The Senate has 24 members who serve six year terms (every three years, 12 Senate seats are up for reelection).  Senators may serve a maximum of two consecutive terms, but there is no limit to the total number of terms they can have. 

Senators are elected through single-member, first-past-the-post voting, wherein the top 12 senators who will garner the most number of votes (among candidates for senator) will be proclaimed winners. 

Responsibility for the management of funds in Senate electoral campaigns is shared between parties and candidates.

The House of Representatives is composed of District representatives and party-list representatives.  In the current 16th Congress, the House of Representatives has 290 members, of whom 234 are district representatives and 56 are party lists representatives from 41 party list groups.

Members of the House serve three year terms, with a limit of three consecutive terms.  District representatives are directly elected in their respective legislative districts--the candidate receiving the most votes in his district is proclaimed the winner.  During the last elections, the Philippines was divided into 234 legislative single member districts.  Campaign funds in elections for district representatives are managed by both parties and candidates.

20% of the members of the House must be elected via party-lists.  In addition to the vote they cast for district representatives, voters on election day also cast a vote for a party-list group.  The percentage of votes cast for each party-list group is computed in relation to the total number of votes cast for party-list groups nationwide.  Parties are then ranked from highest to lowest, and a maximum of three seats may be allowed per party. ""Seats are allocated at the rate of one seat per 2% of votes obtained, unallocated seats shall be distributed among the parties which have not yet obtained the maximum of three seats, provided they have mustered at least 2% of votes; and the variance of percentage in excess of 2% or 4% (equivalent to 1 or 2 seats that have already been obtained, respectively) shall be ranked and be the basis for allocating the remaining seats.""  (Comelec's Primer on the Party List System of Representation)  Campaign funds are managed by parties.

Midterm legislative elections were most recently held in May 2013, and the most recent presidential election occurred in May 2010."
PK,Pakistan,37,50,28,"In Pakistan, there is no direct or indirect public funding for parties or candidates. Non-financial state resources featured in the 2013 campaign, despite a law banning their use. Contributions to parties are somewhat restricted, but the law ignores candidates in this regard. The reverse holds for campaign expenditures. Candidates are required, in law, to spend less than a specified amount, but party spending is unregulated. The evidence suggests that, though the legal framework is not particularly extensive, even the restrictions on contribution and expenditure were likely violated in the run-up to the 2013 elections. During campaign periods, candidates are required to file financial reports, while parties must submit reports on an annual basis. In practice, not all candidates submit the required reports, and most data is incomplete, without a full list of identifying details for contributors. Political finance information is not available online, though it can be obtained in hard copy at photocopying cost, or in pdf. Third party actors are not subject to reporting requirements, though unions and some religious groups do appear to exercise some influence in campaigns. Enforcement in Pakistan is less than robust. The leaders of the Electoral Commission are not appointed in public, completely merit-based processes, and their independence is not guaranteed. The Commission's budget and staff are not sufficient for comprehensive oversight. It performed no audits or investigations after the 2013 elections, and many of its administrative sanctions were ignored by violators.","Pakistan has a parliamentary system with a Prime Minister as the head of government. The President of Pakistan holds a ceremonial position as the head of the state of the Islamic Republic of Pakistan. All the executive powers of Pakistan rest with the Prime Minister. 

The legislature is comprised of two chambers, the National Assembly (lower chamber) and Senate (upper chamber).  The National Assembly is comprised of 342 members (272 general, 60 seats reserved for members, and 10 seats reserved for minorities). Members on General seats are elected directly based on single constituency; women and minorities are elected on proportional party position in general elections. The Senate is comprised of 104 members elected equally from all four provinces. Members are elected by an Electoral College comprised of the members of provincial assemblies. The configuration of seats are general, women, technocrats/Ulema (clerics/Islamic scholars), and minorities, federal and the Federally Administered Tribal Areas (FATA). Parties and individual level candidates manage campaign funds for these elections together. 

The President is the head of the state who is elected by attaining simple majority from an electoral college constituted of members of Senate, National Assembly and members of four provincial assemblies.

On 11th May 2013, general elections were held to elect the members of the 14th National Assembly and the four provincial assemblies of Punjab, Sindh, Balochistan and Khyber Pakhtunkhwa. Elections were also held in Islamabad and the Federally Administered Tribal Areas (FATA) of Pakistan. 

The Senate is a permanent body, and half of its members retire after 3 years. The last elections to Senate were held in March 2012."
